GEOID10,NatWalkInd,TotPop,TotEmp,D1A
53011040806,10.0,1258,49,1.165862755
53011041008,5.333333333,2353,112,0.17370776
53011041003,7.5,1369,254,0.23563258
53011041005,6.333333333,2112,312,0.342839232
53011041105,4.333333333,2495,66,0.361984614
53011041104,15.83333333,1626,102,9.843028793
53011041101,8.833333333,5701,1093,0.149935812
53011041103,6.666666667,1381,203,0.28461901
53011041102,2.833333333,1420,21,0.186902029
53011041201,3.666666667,1717,58,0.133451558
